,CITY_TOWN_NAME,CRASH_HOUR,DRVR_CNTRB_CIRC_CL,RDWY_JNCT_TYPE_DESCR,TRAF_CNTRL_DEVC_TYPE_DESCR,LAT,LON,DRVR_DISTRACTED_CL,CNTY_NAME,SPEED_LIMIT,SURFACE_TP,STRUCT_CND
4010,ANDOVER,6,Speeding,Four-way intersection,Traffic control signal,42.62356148,-71.1813483," D1: Other activity (searching, eating, personal hygiene, etc.) / D2: Other activity (searching, eating, personal hygiene, etc.)",ESSEX,35.0,Bituminous concrete road,Fair
4011,HAVERHILL,20,Diregarded traffic markings,Not at junction,No controls,42.80453303,-71.05016731, D1: Talking on hand-held electronic device,ESSEX,5.0,Bituminous concrete road,Good
4012,HANOVER,20,Reckless Driving,Not at junction,No controls,42.11457063,-70.82760628, D1: External distraction (outside the vehicle),PLYMOUTH,45.0,Bituminous concrete road,Good
4013,HANOVER,9,Distracted/Inattention,Not at junction,No controls,42.12506314,-70.82637591," D1: Other activity (searching, eating, personal hygiene, etc.)",PLYMOUTH,40.0,Bituminous concrete road,Fair
4014,SHERBORN,11,Tailgating,Four-way intersection,Stop signs,42.2374175,-71.4062248, D1: Manually operating an electronic device / D2: Manually operating an electronic device,MIDDLESEX,30.0,Surface-treated road,Fair
4015,SHERBORN,15,Diregarded traffic markings,T-intersection,No controls,42.21548733,-71.39343253, D1: Manually operating an electronic device / D2: Manually operating an electronic device,MIDDLESEX,30.0,Surface-treated road,Fair
4016,SHERBORN,7,Diregarded traffic markings,Four-way intersection,Stop signs,42.24062066,-71.37117259, D1: Manually operating an electronic device / D2: Manually operating an electronic device,MIDDLESEX,30.0,Surface-treated road,Fair
4017,SHERBORN,11,Diregarded traffic markings,T-intersection,No controls,42.23895249,-71.36074090000001, D1: Manually operating an electronic device / D2: Manually operating an electronic device,MIDDLESEX,30.0,Surface-treated road,Deficient
4018,SALEM,12,Distracted/Inattention,Not at junction,No controls,42.50787446,-70.90163261, D1: External distraction (outside the vehicle),ESSEX,30.0,Bituminous concrete road,Fair
4019,SOUTHBOROUGH,18,Distracted/Inattention,Not at junction,No controls,42.29333592,-71.51198561, D1: External distraction (outside the vehicle),WORCESTER,50.0,Bituminous concrete road,Good
4020,WEST BRIDGEWATER,11,Distracted/Inattention,Four-way intersection,Stop signs,42.0234446,-71.05134495," D1: Other activity, electronic device",PLYMOUTH,25.0,Surface-treated road,Good
4021,ARLINGTON,17,Reckless Driving,T-intersection,No controls,42.40709503,-71.14395341," D1: Other activity (searching, eating, personal hygiene, etc.)",MIDDLESEX,30.0,Bituminous concrete road,Good
4022,CAMBRIDGE,13,Diregarded traffic markings,Four-way intersection,Traffic control signal,42.36913974,-71.0731132, D1: Passenger,MIDDLESEX,35.0,Bituminous concrete road,Fair
4023,DEDHAM,7,Diregarded traffic markings,Not at junction,Warning signs,42.23235556,-71.16003901," D1: Other activity, electronic device",NORFOLK,30.0,Surface-treated road,Fair
4024,SHERBORN,17,Diregarded traffic markings,T-intersection,Stop signs,42.26812984,-71.38106089, D1: Manually operating an electronic device,MIDDLESEX,25.0,Surface-treated road,Fair
4025,SHERBORN,14,Tailgating,T-intersection,No controls,42.25492773,-71.36816563," D1: Other activity, electronic device",MIDDLESEX,30.0,Bituminous concrete road,Fair
4026,DEDHAM,23,Distracted/Inattention,Traffic circle,Yield signs,42.26969496,-71.18259485," D1: Other activity (searching, eating, personal hygiene, etc.)",NORFOLK,25.0,Bituminous concrete road,Good
4027,PLYMOUTH,14,Distracted/Inattention,Not at junction,No controls,41.9556008,-70.71134398," D1: Other activity (searching, eating, personal hygiene, etc.)",PLYMOUTH,35.0,Bituminous concrete road,Good
4028,BEVERLY,15,Distracted/Inattention,T-intersection,Stop signs,42.55206197,-70.87875985, D1: External distraction (outside the vehicle),ESSEX,30.0,Bituminous concrete road,Good
4029,QUINCY,7,Tailgating,Not at junction,Traffic control signal,42.24446145,-70.99870777," D1: Other activity (searching, eating, personal hygiene, etc.)",NORFOLK,30.0,Bituminous concrete road,Good
4030,SALEM,22,Distracted/Inattention,Not at junction,No controls,42.52838929,-70.90517037, D1: Talking on hand-held electronic device,ESSEX,25.0,Bituminous concrete road,Fair
